SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP13,G6,P22,1/6/2021,7182,29,378
SP09,G5,P09,1/6/2021,539,10,77
SP20,G6,P19,1/6/2021,637,79,91
SP07,G2,P15,1/6/2021,1470,57,184
SP10,G2,P13,1/6/2021,1442,108,61
SP11,G2,P20,1/6/2021,9023,224,564
SP03,G6,P01,1/6/2021,2709,27,101
SP19,G3,P21,1/7/2021,5733,193,338
SP05,G3,P02,1/7/2021,10451,155,1307
SP18,G1,P18,1/7/2021,11228,236,388
SP15,G6,P17,1/7/2021,3073,137,129
SP09,G5,P13,1/7/2021,5467,109,288
SP08,G2,P20,1/7/2021,4067,272,226
SP02,G1,P05,1/8/2021,2814,69,149
SP24,G4,P17,1/8/2021,2716,299,105
SP22,G5,P09,1/8/2021,3570,61,325
SP12,G1,P13,1/8/2021,9562,123,479
SP17,G4,P22,1/8/2021,2373,2,104
SP08,G1,P17,1/8/2021,2807,236,123
SP10,G2,P01,1/8/2021,420,196,14
SP06,G2,P04,1/8/2021,8239,157,515
SP05,G4,P02,1/8/2021,6797,114,486
SP22,G4,P13,1/8/2021,6048,56,319
SP05,G5,P04,1/8/2021,364,14,21
SP19,G5,P14,1/8/2021,6496,15,406
SP24,G2,P09,1/8/2021,1057,45,106
SP08,G6,P04,1/8/2021,357,185,17
SP08,G5,P07,1/8/2021,6419,359,257
SP08,G3,P10,1/8/2021,12726,179,579
SP16,G2,P13,1/11/2021,6006,109,376
SP15,G6,P08,1/11/2021,5124,33,285
SP23,G4,P01,1/11/2021,2709,188,113
SP01,G5,P01,1/11/2021,7238,67,315
SP06,G1,P14,1/12/2021,6776,68,424
SP11,G6,P01,1/12/2021,189,123,8
SP08,G2,P12,1/12/2021,4669,217,390
SP01,G3,P19,1/12/2021,490,188,35
SP08,G5,P19,1/12/2021,4235,76,283
SP13,G2,P07,1/12/2021,4487,161,187
SP02,G3,P15,1/12/2021,2653,147,332
SP04,G4,P10,1/12/2021,5306,5,253
SP16,G2,P02,1/12/2021,6888,112,689
SP08,G4,P16,1/12/2021,721,45,24
SP14,G1,P10,1/12/2021,8610,124,345
SP10,G2,P12,1/12/2021,11739,22,903
SP16,G1,P09,1/13/2021,4774,206,341
SP10,G3,P02,1/13/2021,6307,123,789
SP21,G3,P08,1/13/2021,4340,168,217
SP09,G1,P19,1/13/2021,1078,76,77
SP13,G6,P03,1/13/2021,5418,287,247
SP03,G2,P21,1/13/2021,6069,268,434
SP15,G2,P21,1/13/2021,12334,119,686
SP08,G6,P07,1/13/2021,728,234,32
SP21,G1,P15,1/13/2021,2135,179,165
SP07,G4,P13,1/13/2021,2121,130,89
SP12,G6,P01,1/14/2021,6881,10,222
SP24,G4,P07,1/14/2021,1239,97,50
SP16,G5,P05,1/14/2021,3598,365,257
SP18,G3,P20,1/14/2021,6580,210,347
SP08,G6,P10,1/14/2021,1127,97,54
SP22,G1,P22,1/14/2021,3605,345,139
SP09,G4,P11,1/14/2021,5096,201,196
SP25,G2,P08,1/14/2021,2135,183,98
SP13,G2,P04,1/14/2021,35,142,3
SP11,G1,P19,1/14/2021,13090,17,935
SP05,G6,P20,1/14/2021,15785,209,1128
SP20,G5,P12,1/14/2021,14574,86,810
SP11,G4,P17,1/14/2021,3556,195,143
SP02,G2,P12,1/14/2021,14532,142,969
SP23,G4,P17,1/14/2021,4445,340,159
SP17,G2,P01,1/14/2021,10339,207,357
SP03,G4,P11,1/14/2021,1351,282,55
SP02,G4,P15,1/14/2021,4011,260,335
SP17,G6,P12,1/14/2021,5306,333,483
SP24,G2,P11,1/14/2021,18704,78,585
SP21,G3,P20,1/14/2021,9310,62,582
SP04,G4,P06,1/14/2021,1211,37,61
SP09,G3,P04,1/15/2021,3094,317,148
SP17,G4,P04,1/15/2021,4949,244,248
SP06,G4,P08,1/15/2021,308,91,19
SP11,G1,P17,1/15/2021,7546,49,329
SP12,G2,P13,1/15/2021,6713,422,373
SP14,G4,P17,1/15/2021,6895,318,300
SP02,G4,P05,1/15/2021,3430,120,202
SP21,G4,P14,1/18/2021,4165,61,348
SP25,G1,P03,1/18/2021,2380,209,159
SP03,G6,P14,1/18/2021,6594,114,413
SP04,G5,P04,1/18/2021,1428,55,76
SP19,G5,P07,1/18/2021,2646,150,116
SP10,G1,P01,1/18/2021,238,364,11
SP24,G5,P04,1/18/2021,945,298,50
SP11,G6,P10,1/18/2021,9436,102,337
SP17,G2,P10,1/18/2021,4081,116,152
SP04,G2,P08,1/18/2021,10556,25,587
SP01,G2,P14,1/18/2021,2331,38,167
SP11,G3,P16,1/19/2021,896,346,32
SP20,G1,P18,1/19/2021,4214,314,169
SP20,G3,P09,1/19/2021,2121,90,177
SP23,G1,P13,1/19/2021,1029,386,47
SP08,G1,P05,1/19/2021,15407,103,771
SP03,G4,P17,1/19/2021,10129,134,406
SP13,G2,P20,1/19/2021,16380,203,1092
SP24,G1,P14,1/19/2021,3899,102,279
SP05,G3,P10,1/19/2021,12075,264,432
SP11,G2,P18,1/19/2021,10696,115,428
SP19,G2,P03,1/19/2021,4039,436,238
SP18,G1,P22,1/19/2021,5250,410,202
SP21,G1,P08,1/19/2021,8113,25,508
SP08,G6,P06,1/19/2021,161,95,10
SP07,G6,P10,1/19/2021,8218,205,294
SP06,G5,P15,1/19/2021,742,80,53
SP03,G2,P11,1/19/2021,3087,193,111
SP08,G1,P18,1/19/2021,5110,131,155
SP04,G4,P04,1/19/2021,5873,164,267
SP11,G6,P05,1/19/2021,4641,301,357
SP04,G4,P22,1/20/2021,1155,34,45
SP10,G6,P02,1/20/2021,784,247,49
SP25,G4,P05,1/20/2021,5369,16,384
SP10,G3,P06,1/20/2021,343,338,18
SP10,G6,P19,1/20/2021,7007,38,584
SP15,G1,P15,1/20/2021,126,127,13
SP16,G1,P08,1/20/2021,3073,57,134
SP19,G4,P21,1/21/2021,7805,86,488
SP09,G6,P11,1/21/2021,3087,14,124
SP13,G4,P21,1/21/2021,9030,85,452
SP04,G2,P20,1/21/2021,7805,6,411
SP18,G1,P11,1/21/2021,6979,38,233
SP19,G1,P07,1/21/2021,11284,39,513
SP17,G5,P01,1/21/2021,2408,106,90
SP03,G6,P02,1/21/2021,5299,86,332
SP10,G6,P16,1/21/2021,6293,158,234
SP08,G5,P03,1/21/2021,280,408,17
SP05,G1,P13,1/21/2021,644,483,30
SP07,G5,P21,1/21/2021,2191,65,110
SP16,G4,P21,1/21/2021,427,267,26
SP14,G3,P20,1/21/2021,5537,346,426
SP18,G5,P08,1/21/2021,742,264,31
SP23,G3,P13,1/21/2021,4200,457,248
SP08,G6,P15,1/21/2021,5299,203,442
SP08,G2,P17,1/21/2021,3829,286,160
SP20,G4,P18,1/21/2021,5747,70,192
SP06,G4,P13,1/21/2021,2345,199,147
SP12,G4,P09,1/22/2021,4312,181,616
SP25,G4,P13,1/22/2021,1358,68,68
SP01,G2,P09,1/22/2021,13146,85,1644
SP05,G5,P14,1/22/2021,12047,295,927
SP08,G3,P20,1/22/2021,5971,44,460
SP16,G4,P02,1/22/2021,3038,280,254
SP20,G6,P16,1/22/2021,8022,167,268
SP16,G3,P15,1/22/2021,2226,1,248
SP10,G3,P17,1/22/2021,2366,470,79
SP24,G5,P02,1/22/2021,8386,194,599
SP03,G3,P16,1/22/2021,13230,261,576
SP17,G6,P03,1/22/2021,1771,151,111
SP13,G6,P04,1/22/2021,3416,458,228
SP17,G6,P13,1/22/2021,15197,11,634
SP08,G4,P15,1/22/2021,5971,59,498
SP02,G6,P09,1/22/2021,13335,227,1667
SP23,G3,P21,1/22/2021,4613,54,210
SP12,G1,P12,1/22/2021,10430,110,580
SP20,G2,P03,1/22/2021,168,94,10
SP25,G6,P08,1/22/2021,4606,256,192
SP11,G6,P14,1/22/2021,1491,193,136
SP02,G1,P08,1/25/2021,12194,302,509
SP12,G6,P04,1/25/2021,10122,206,533
SP09,G5,P08,1/25/2021,1841,164,88
SP16,G6,P09,1/25/2021,6958,337,580
SP07,G1,P08,1/25/2021,749,323,35
SP16,G6,P04,1/25/2021,3507,48,195
SP17,G4,P15,1/25/2021,7294,122,562
SP10,G1,P12,1/25/2021,5040,219,420
SP10,G1,P16,1/25/2021,3913,257,157
SP09,G2,P02,1/25/2021,3598,101,300
SP19,G2,P10,1/25/2021,8911,302,319
SP08,G4,P22,1/25/2021,42,35,2
SP13,G1,P21,1/25/2021,2282,222,109
SP23,G3,P08,1/25/2021,12964,242,541
SP09,G3,P20,1/25/2021,5775,219,361
SP16,G4,P10,1/25/2021,10787,100,400
SP20,G5,P21,1/25/2021,6342,115,374
SP14,G1,P22,1/25/2021,11564,46,463
SP03,G2,P04,1/25/2021,2793,37,156
SP18,G3,P19,1/25/2021,1603,81,134
SP06,G5,P03,1/25/2021,3052,357,180
SP12,G3,P21,1/25/2021,1659,82,83
SP01,G4,P05,1/25/2021,3143,82,210
SP02,G2,P21,1/25/2021,12782,212,609
SP21,G4,P19,1/25/2021,343,313,32
SP10,G4,P14,1/25/2021,1785,216,138
SP10,G3,P09,1/25/2021,4914,46,615
SP18,G6,P14,1/26/2021,1869,242,208
SP04,G1,P10,1/26/2021,8512,173,387
SP23,G6,P09,1/26/2021,9296,1,716
SP20,G5,P07,1/26/2021,6034,229,263
SP22,G1,P11,1/26/2021,9471,166,365
SP15,G1,P22,1/26/2021,3815,146,166
SP01,G4,P06,1/26/2021,9485,140,527
SP16,G2,P16,1/26/2021,3549,78,132
SP04,G6,P09,1/26/2021,1512,61,117
SP13,G3,P16,1/26/2021,2296,113,96
SP11,G1,P01,1/27/2021,17402,43,697
SP15,G6,P12,1/27/2021,11816,160,844
SP17,G4,P16,1/27/2021,10612,232,425
SP01,G2,P01,1/27/2021,5558,263,192
SP21,G6,P04,1/27/2021,14056,148,781
SP09,G2,P16,1/27/2021,5131,171,166
SP16,G2,P08,1/27/2021,1477,352,87
SP06,G5,P04,1/27/2021,7686,72,549
SP23,G6,P13,1/27/2021,8722,35,460
SP08,G6,P16,1/27/2021,6370,35,206
SP03,G6,P13,1/27/2021,4074,208,240
SP24,G4,P11,1/27/2021,1309,97,51
SP07,G5,P20,1/27/2021,4991,137,357
SP04,G3,P22,1/27/2021,6965,91,367
SP15,G5,P18,1/27/2021,10199,497,408
SP12,G4,P21,1/27/2021,7392,9,390
SP01,G4,P12,1/27/2021,5880,71,392
SP04,G2,P11,1/27/2021,5950,25,238
SP14,G2,P16,1/27/2021,10395,57,336
SP22,G1,P07,1/27/2021,6174,33,247
SP04,G4,P19,1/27/2021,15239,170,1524
SP21,G3,P09,1/27/2021,2219,145,247
SP17,G4,P19,1/27/2021,3150,70,243
SP17,G6,P15,1/27/2021,2968,216,212
SP02,G3,P05,1/27/2021,3241,199,163
SP15,G3,P07,1/27/2021,3605,120,151
SP20,G3,P08,1/28/2021,3640,169,174
SP11,G3,P08,1/28/2021,1309,294,77
SP13,G1,P06,1/28/2021,10346,131,739
SP15,G3,P04,1/28/2021,1071,359,54
SP11,G6,P19,1/28/2021,6328,119,791
SP07,G3,P11,1/28/2021,1820,143,68
SP09,G1,P21,1/28/2021,3437,179,157
SP17,G6,P14,1/28/2021,4550,214,455
SP01,G3,P07,1/28/2021,2968,259,110
SP14,G2,P06,1/28/2021,12565,4,898
SP17,G3,P01,1/28/2021,8246,294,318
SP09,G1,P05,1/28/2021,1190,137,70
SP24,G4,P06,1/28/2021,3283,146,183
SP08,G5,P18,1/28/2021,3087,300,115
SP20,G1,P21,1/28/2021,6531,244,297
SP16,G2,P14,1/28/2021,4228,55,249
SP24,G2,P17,1/28/2021,10094,118,389
SP21,G4,P01,1/28/2021,182,46,6
SP22,G4,P14,1/28/2021,616,151,37
SP24,G2,P20,1/29/2021,12131,121,809
SP07,G2,P07,1/29/2021,2394,323,93
SP12,G1,P14,1/29/2021,14287,89,841
SP11,G4,P03,1/29/2021,10941,185,730
SP24,G6,P07,1/29/2021,7777,345,260
SP06,G3,P09,1/29/2021,9436,7,858
SP07,G3,P12,1/29/2021,1267,104,116
SP07,G2,P11,1/29/2021,8806,32,327
SP06,G6,P21,1/29/2021,3640,403,243
SP07,G6,P17,1/29/2021,4900,239,182
SP18,G5,P14,1/29/2021,5558,219,348
SP25,G4,P03,1/29/2021,9142,1,436
SP02,G6,P05,1/29/2021,3514,143,235
SP19,G3,P02,1/29/2021,140,91,10
SP15,G6,P10,2/1/2021,11844,211,439
SP03,G4,P01,2/1/2021,6517,54,233
SP07,G1,P01,2/1/2021,8715,24,282
SP05,G1,P16,2/1/2021,4851,455,180
SP01,G2,P16,2/1/2021,10983,185,379
SP21,G5,P15,2/1/2021,3290,75,329
SP11,G5,P16,2/1/2021,6545,86,212
SP03,G3,P19,2/1/2021,441,7,45
SP14,G1,P21,2/1/2021,9849,75,580
SP09,G4,P14,2/1/2021,3073,9,308
SP17,G2,P16,2/1/2021,4452,75,149
SP12,G3,P13,2/1/2021,10220,105,538
SP09,G6,P19,2/1/2021,3150,11,210
SP07,G2,P20,2/1/2021,6083,43,381
SP08,G6,P12,2/1/2021,14063,140,1407
SP07,G6,P19,2/1/2021,4578,256,306
SP19,G1,P14,2/1/2021,6454,21,461
SP15,G2,P18,2/2/2021,6650,166,256
SP01,G1,P22,2/2/2021,2436,203,94
SP21,G4,P21,2/2/2021,6944,33,331
SP05,G1,P11,2/2/2021,19817,126,684
SP01,G1,P02,2/2/2021,3521,50,235
SP12,G2,P11,2/2/2021,10458,546,327
SP24,G4,P08,2/2/2021,1302,401,57
SP10,G5,P11,2/2/2021,7952,221,249
SP13,G5,P06,2/2/2021,4753,133,265
SP11,G1,P13,2/2/2021,11452,81,546
SP03,G1,P10,2/2/2021,9345,124,390
SP16,G1,P05,2/2/2021,7490,172,357
SP25,G1,P16,2/2/2021,1519,127,57
SP09,G6,P20,2/2/2021,3087,135,155
SP06,G6,P20,2/2/2021,2352,178,168
SP17,G3,P15,2/2/2021,11578,76,891
SP11,G2,P22,2/2/2021,462,223,22
SP24,G1,P17,2/3/2021,6916,32,315
SP11,G1,P09,2/3/2021,3248,101,542
SP25,G3,P01,2/3/2021,6475,431,240
SP23,G6,P22,2/3/2021,9009,129,501
SP17,G3,P14,2/3/2021,2835,20,189
SP14,G1,P01,2/3/2021,7644,77,294
SP19,G6,P19,2/3/2021,3360,48,240
SP19,G2,P05,2/3/2021,1379,246,99
SP22,G2,P16,2/3/2021,9534,229,382
SP17,G2,P22,2/3/2021,14448,28,657
SP24,G2,P15,2/3/2021,3829,432,240
SP03,G4,P09,2/4/2021,9086,206,758
SP15,G3,P01,2/4/2021,5803,299,194
SP25,G6,P18,2/4/2021,182,36,7
SP18,G6,P13,2/4/2021,9863,21,520
SP06,G4,P09,2/4/2021,4046,80,289
SP09,G6,P12,2/4/2021,3493,140,350
SP13,G3,P03,2/4/2021,392,89,18
SP05,G1,P10,2/4/2021,2534,19,111
SP22,G6,P13,2/4/2021,7084,6,308
SP05,G6,P09,2/4/2021,4809,70,344
SP16,G3,P07,2/4/2021,7959,273,266
SP15,G3,P08,2/4/2021,10521,231,527
SP15,G3,P12,2/4/2021,56,168,5
SP19,G6,P15,2/4/2021,3017,103,189
SP12,G1,P09,2/4/2021,18949,300,2707
SP24,G6,P01,2/4/2021,8764,69,338
SP14,G1,P04,2/4/2021,12201,103,643
SP20,G2,P10,2/4/2021,11935,189,460
SP01,G2,P20,2/4/2021,3724,322,266
SP23,G3,P06,2/4/2021,2646,70,166
SP03,G1,P14,2/4/2021,686,18,46
SP12,G5,P20,2/4/2021,2037,272,128
SP23,G1,P21,2/4/2021,6300,208,300
SP11,G3,P22,2/4/2021,2541,14,111
SP04,G1,P04,2/4/2021,1883,97,118
SP08,G1,P10,2/4/2021,10255,180,446
SP22,G6,P11,2/5/2021,5803,98,233
SP09,G1,P02,2/5/2021,8260,239,1033
SP24,G1,P15,2/5/2021,14868,5,1859
SP03,G2,P06,2/5/2021,4137,10,276
SP10,G6,P11,2/5/2021,7161,480,276
SP24,G2,P07,2/5/2021,9625,149,332
SP19,G3,P16,2/5/2021,12852,296,429
SP18,G3,P06,2/5/2021,7546,365,581
SP19,G2,P06,2/5/2021,4123,104,275
SP21,G1,P16,2/5/2021,13174,78,573
SP17,G2,P02,2/5/2021,7637,161,546
SP18,G2,P15,2/5/2021,3311,128,332
SP21,G1,P04,2/5/2021,2338,52,107
SP06,G1,P17,2/8/2021,3465,228,139
SP17,G5,P22,2/8/2021,2345,435,107
SP18,G3,P16,2/8/2021,12698,53,471
SP01,G4,P13,2/8/2021,6678,24,334
SP12,G3,P15,2/8/2021,4851,120,324
SP08,G4,P07,2/8/2021,336,164,12
SP12,G3,P09,2/8/2021,2366,8,198
SP08,G2,P08,2/8/2021,10598,226,461
SP01,G1,P20,2/8/2021,13293,199,665
SP23,G5,P02,2/8/2021,2086,90,261
SP04,G5,P22,2/8/2021,2751,133,120
SP02,G3,P10,2/8/2021,5481,283,275
SP09,G2,P20,2/8/2021,5628,11,433
SP22,G2,P17,2/8/2021,2660,113,89
SP20,G1,P03,2/9/2021,1386,157,82
SP17,G6,P01,2/9/2021,11060,175,382
SP16,G5,P21,2/9/2021,2919,147,172
SP25,G3,P08,2/9/2021,8680,334,457
SP09,G2,P10,2/9/2021,1484,362,71
SP17,G3,P21,2/9/2021,16919,199,996
SP21,G5,P11,2/9/2021,13188,215,440
SP11,G5,P04,2/9/2021,4998,182,294
SP14,G6,P13,2/9/2021,6146,64,342
SP19,G1,P01,2/9/2021,5621,162,217
SP18,G6,P05,2/9/2021,980,75,47
SP13,G2,P03,2/10/2021,7343,116,350
SP01,G3,P17,2/10/2021,1750,9,63
SP05,G1,P06,2/10/2021,2464,90,165
SP09,G2,P01,2/10/2021,1974,47,86
SP22,G5,P19,2/10/2021,11823,52,986
SP15,G4,P13,2/10/2021,7350,250,335
SP15,G3,P15,2/10/2021,4165,170,417
SP03,G1,P13,2/10/2021,630,41,28
SP09,G3,P15,2/10/2021,2282,238,143
SP17,G3,P12,2/10/2021,5250,37,292
SP06,G3,P03,2/10/2021,11676,253,730
SP17,G5,P17,2/10/2021,14917,289,533
SP22,G3,P18,2/11/2021,4634,100,155
SP05,G2,P18,2/11/2021,819,196,27
SP10,G1,P07,2/11/2021,2422,60,106
SP13,G3,P18,2/11/2021,1463,158,59
SP15,G3,P18,2/11/2021,1050,10,32
SP20,G6,P22,2/11/2021,1526,527,85
SP03,G4,P02,2/11/2021,427,163,27
SP06,G2,P10,2/11/2021,10976,132,440
SP04,G4,P05,2/12/2021,6503,299,407
SP13,G6,P08,2/12/2021,21,300,1
SP05,G6,P06,2/12/2021,7063,13,393
SP24,G3,P22,2/12/2021,3990,50,200
SP14,G4,P19,2/12/2021,1806,184,129
SP16,G1,P14,2/12/2021,10136,115,597
SP12,G6,P03,2/12/2021,1288,119,62
SP20,G3,P14,2/12/2021,1295,107,87
SP09,G2,P19,2/12/2021,6461,288,718
SP22,G4,P18,2/12/2021,4949,31,155
SP18,G4,P12,2/12/2021,5432,39,302
SP15,G3,P17,2/12/2021,7112,55,246
SP12,G6,P22,2/12/2021,266,112,11
SP05,G2,P02,2/12/2021,6202,44,414
SP22,G4,P11,2/15/2021,1057,288,43
SP15,G6,P07,2/15/2021,1925,460,67
SP04,G1,P13,2/15/2021,1841,185,77
SP07,G3,P10,2/15/2021,1204,5,61
SP04,G4,P13,2/15/2021,4074,146,186
SP16,G2,P18,2/15/2021,4473,39,150
SP16,G6,P15,2/15/2021,2947,210,246
SP23,G2,P16,2/15/2021,15386,59,642
SP04,G6,P01,2/15/2021,4690,229,188
SP24,G2,P14,2/15/2021,343,158,39
SP14,G3,P05,2/15/2021,3052,393,146
SP19,G5,P18,2/15/2021,686,187,25
SP04,G3,P14,2/15/2021,6993,133,538
SP21,G6,P01,2/16/2021,5236,170,169
SP06,G1,P10,2/16/2021,8638,212,333
SP07,G4,P18,2/16/2021,5712,288,191
SP03,G2,P05,2/16/2021,6258,334,330
SP04,G2,P19,2/16/2021,3234,90,294
SP15,G1,P16,2/16/2021,17577,32,677
SP11,G2,P06,2/16/2021,12684,217,668
SP05,G1,P08,2/16/2021,1239,29,54
SP15,G6,P02,2/16/2021,3402,55,243
SP12,G1,P21,2/16/2021,11382,432,633
SP18,G1,P01,2/16/2021,7133,212,265
SP22,G1,P01,2/17/2021,8309,171,333
SP23,G4,P12,2/17/2021,1435,3,131
SP02,G3,P06,2/17/2021,3227,126,216
SP25,G4,P07,2/17/2021,133,195,6
SP05,G5,P08,2/17/2021,5446,425,273
SP12,G1,P08,2/17/2021,4424,91,261
SP22,G6,P01,2/17/2021,1827,168,80
SP04,G4,P18,2/17/2021,8232,264,305
SP07,G5,P02,2/17/2021,861,262,62
SP01,G4,P19,2/17/2021,8099,178,675
SP17,G5,P20,2/17/2021,5894,592,281
SP25,G2,P11,2/17/2021,8211,601,257
SP07,G1,P11,2/17/2021,10360,206,415
SP14,G6,P01,2/17/2021,5145,98,166
SP08,G6,P02,2/17/2021,9163,235,1146
SP17,G1,P14,2/17/2021,15323,33,1393
SP16,G3,P09,2/17/2021,7994,177,1000
SP13,G3,P21,2/17/2021,6363,87,455
SP20,G4,P22,2/17/2021,3262,185,172
SP05,G5,P07,2/17/2021,2793,93,127
SP17,G1,P16,2/18/2021,8491,338,340
SP02,G5,P17,2/18/2021,13685,39,571
SP21,G3,P14,2/18/2021,770,137,52
SP25,G3,P02,2/18/2021,8631,399,1079
SP22,G4,P12,2/18/2021,4536,120,267
SP17,G6,P08,2/18/2021,14497,21,605
SP17,G5,P21,2/18/2021,7672,112,452
SP03,G5,P08,2/18/2021,10878,329,573
SP02,G5,P02,2/18/2021,12572,94,1397
SP19,G5,P02,2/18/2021,1575,90,105
SP02,G3,P18,2/18/2021,5453,260,166
SP19,G4,P18,2/18/2021,4802,84,155
SP16,G1,P06,2/19/2021,7651,325,426
SP18,G1,P09,2/19/2021,2079,527,260
SP02,G4,P10,2/19/2021,2100,62,81
SP25,G5,P20,2/19/2021,5278,242,406
SP01,G2,P10,2/19/2021,4249,19,164
SP12,G2,P05,2/19/2021,3976,9,210
SP20,G2,P11,2/19/2021,6951,183,218
SP25,G6,P10,2/19/2021,616,161,25
SP09,G6,P13,2/19/2021,5439,115,287
SP10,G1,P02,2/19/2021,63,206,7
SP10,G3,P15,2/19/2021,1533,115,110
SP20,G2,P19,2/19/2021,3535,337,322
SP13,G3,P10,2/19/2021,2429,4,111
SP03,G1,P04,2/19/2021,7119,144,356
SP02,G4,P07,2/19/2021,3521,304,118
SP08,G2,P11,2/19/2021,3745,177,118
SP16,G5,P14,2/19/2021,4816,100,301
SP02,G6,P15,2/19/2021,1736,72,193
SP17,G5,P19,2/19/2021,1099,139,92
SP14,G6,P11,2/19/2021,6692,165,231
SP02,G5,P15,2/22/2021,364,177,31
SP08,G3,P13,2/22/2021,10927,202,476
SP12,G4,P13,2/22/2021,11410,103,476
SP24,G1,P16,2/22/2021,2443,337,82
SP14,G3,P14,2/22/2021,329,257,26
SP04,G4,P07,2/22/2021,3066,144,128
SP19,G4,P15,2/22/2021,567,243,38
SP14,G4,P20,2/22/2021,14721,257,1052
SP09,G4,P21,2/22/2021,6986,11,350
SP06,G2,P13,2/22/2021,14112,158,784
SP08,G6,P20,2/22/2021,1771,605,137
SP15,G5,P22,2/22/2021,5082,164,231
SP12,G3,P03,2/22/2021,1827,48,102
SP18,G1,P07,2/22/2021,182,85,7
SP08,G4,P21,2/22/2021,5369,136,269
SP06,G2,P07,2/22/2021,6034,169,275
SP09,G3,P05,2/22/2021,13209,204,881
SP12,G5,P17,2/22/2021,847,263,30
SP22,G3,P02,2/22/2021,1015,66,64
SP14,G3,P02,2/23/2021,16247,215,2031
SP21,G3,P15,2/23/2021,2422,41,303
SP10,G3,P22,2/23/2021,3997,333,174
SP24,G2,P03,2/23/2021,7182,125,479
SP21,G1,P05,2/23/2021,1246,163,70
SP24,G6,P06,2/23/2021,553,50,27
SP23,G2,P12,2/23/2021,2681,206,207
SP20,G5,P15,2/23/2021,2800,78,234
SP23,G6,P04,2/23/2021,4851,160,304
SP05,G3,P17,2/23/2021,168,3,6
SP11,G5,P12,2/23/2021,315,5,21
SP04,G3,P06,2/23/2021,11851,58,741
SP14,G4,P07,2/23/2021,3220,261,147
SP05,G6,P19,2/23/2021,11935,307,1194
SP03,G3,P22,2/23/2021,12404,186,478
SP22,G5,P12,2/24/2021,1519,132,90
SP22,G1,P17,2/24/2021,10934,182,476
SP25,G6,P22,2/24/2021,3346,179,129
SP24,G3,P10,2/24/2021,8351,36,398
SP12,G6,P14,2/24/2021,11718,76,733
SP17,G3,P10,2/24/2021,2681,115,117
SP22,G1,P02,2/24/2021,6188,292,563
SP11,G5,P08,2/24/2021,10941,182,521
SP11,G3,P01,2/24/2021,3647,220,141
SP23,G3,P22,2/25/2021,2436,130,122
SP11,G3,P17,2/25/2021,896,346,41
SP04,G2,P17,2/25/2021,3808,17,174
SP04,G3,P05,2/25/2021,10920,278,683
SP13,G4,P12,2/25/2021,4186,75,299
SP24,G3,P13,2/25/2021,6797,72,309
SP24,G5,P10,2/25/2021,4319,56,155
SP16,G3,P20,2/25/2021,1673,99,105
SP20,G4,P03,2/25/2021,735,84,35
SP20,G5,P11,2/25/2021,2632,39,106
SP04,G4,P09,2/25/2021,2030,68,170
SP03,G2,P18,2/25/2021,1169,265,47
SP09,G4,P05,2/25/2021,3703,54,206
SP01,G6,P14,2/25/2021,805,48,54
SP23,G6,P20,2/25/2021,406,260,21
SP20,G5,P09,2/25/2021,3591,73,360
SP20,G6,P14,2/25/2021,5551,210,463
